parameter,change,score,styles_score,technical_score,composition_score
highlights,40.0,0.625259961330223,0.6738204353333296,0.7731778020000071,0.4287816466573313
highlights,60.0,0.6193594112299959,0.6647819506666666,0.7682076700000027,0.42508861302333434
highlights,80.0,0.6122854332366685,0.6544441480000024,0.7618023266666665,0.42060982504333505
highlights,100.0,0.6044315797800016,0.6431998646666699,0.7545717186666662,0.41552315600666406
impulse_noise,1.0,0.49471286477044407,0.5334807252666662,0.6254659576666715,0.325191911377999
impulse_noise,2.0,0.46697209656288896,0.5121065512666656,0.5921002288666658,0.29670950955533354
impulse_noise,3.0,0.4504667815539983,0.4972199411333341,0.5693037838666696,0.2848766196620009
impulse_noise,4.0,0.43302133990066777,0.4786406295266688,0.5356832165666672,0.28474017360866566
impulse_noise,5.0,0.44203276471111086,0.48287534777333224,0.5422173456266651,0.3010056007333322
jpeg_compression,1.0,0.5796065983611093,0.6428752278666623,0.7041092880000004,0.3918352792166672
jpeg_compression,2.0,0.5537444109202261,0.6202307010666651,0.671025494666674,0.36997703702733353
jpeg_compression,3.0,0.5348546574695558,0.6017359315999994,0.6475775295333388,0.35525051127533386
jpeg_compression,4.0,0.47763717457422356,0.5469408233000034,0.5725595307333338,0.31341116968933186
jpeg_compression,5.0,0.4140421106866677,0.4836500675799997,0.4896462642980018,0.268830000181998
leftcornerscrop,-5.0,0.6192724483086676,0.6805987359999985,0.7737778499999984,0.40344075892599834
leftcornerscrop,-4.0,0.6196078508911085,0.6798811826666674,0.7743635566666657,0.4045788133400002
leftcornerscrop,-3.0,0.6201015584762245,0.679556250666665,0.7742126024000014,0.4065358223619986
leftcornerscrop,-2.0,0.6207261802751093,0.6798426873333325,0.7748089199999988,0.4075269334920005
leftcornerscrop,-1.0,0.6202637002066664,0.6788508920000055,0.7746246980000018,0.4073155106200011
leftcornerscrop,1.0,0.6201669069531112,0.6793709539999968,0.7738589220000017,0.40727084485933424
leftcornerscrop,2.0,0.6201469481102204,0.6798316479999967,0.7733769686666645,0.4072322276640003
leftcornerscrop,3.0,0.6185814853784467,0.6792773813333327,0.77224753533333,0.4042195394686677
leftcornerscrop,4.0,0.6188371626006645,0.6795672973333372,0.7728727346666675,0.40407145580199794
leftcornerscrop,5.0,0.6180542566326661,0.6797899413333329,0.7722757573333359,0.40209707123133315
motion_blur,1.0,0.5839880397426649,0.6579855006666653,0.7204675920000019,0.37351102656133406
motion_blur,2.0,0.554960596714442,0.6373370269999998,0.6934578886666638,0.33408687447666685
motion_blur,3.0,0.5236198933888901,0.6178093339999979,0.6583438906666671,0.29470645550000213
